min_x_mm,min_y_mm,min_z_mm,size_x_mm,size_y_mm,size_z_mm,center_x_mm,center_y_mm,center_z_mm
485.49,-794.42,-1725.76,300.00,200.00,100.00,590.65,-645.88,-1682.46
493.39,-795.42,-1626.08,300.00,200.00,100.00,598.55,-646.87,-1582.78
501.30,-796.41,-1526.40,300.00,200.00,100.00,606.46,-647.87,-1483.10
402.78,-608.11,-1817.66,300.00,200.00,100.00,507.95,-459.56,-1774.36
410.69,-609.10,-1717.98,300.00,200.00,100.00,515.85,-460.56,-1674.68
418.59,-610.10,-1618.30,300.00,200.00,100.00,523.76,-461.55,-1575.00
426.50,-611.09,-1518.62,300.00,200.00,100.00,531.66,-462.55,-1475.32
327.99,-422.78,-1809.88,300.00,200.00,100.00,433.15,-274.24,-1766.58
335.89,-423.78,-1710.20,300.00,200.00,100.00,441.06,-275.23,-1666.90
343.80,-424.77,-1610.52,300.00,200.00,100.00,448.96,-276.23,-1567.22
351.70,-425.77,-1510.84,300.00,200.00,100.00,456.87,-277.22,-1467.53
253.19,-237.46,-1802.10,300.00,200.00,100.00,358.35,-88.91,-1758.80
261.10,-238.45,-1702.42,300.00,200.00,100.00,366.26,-89.91,-1659.12
269.00,-239.45,-1602.74,300.00,200.00,100.00,374.16,-90.90,-1559.44
276.91,-240.44,-1503.06,300.00,200.00,100.00,382.07,-91.90,-1459.75
178.39,-52.14,-1794.32,300.00,200.00,100.00,283.56,96.41,-1751.02
186.30,-53.13,-1694.64,300.00,200.00,100.00,291.46,95.42,-1651.34
194.20,-54.12,-1594.96,300.00,200.00,100.00,299.37,94.42,-1551.65
202.11,-55.12,-1495.28,300.00,200.00,100.00,307.27,93.43,-1451.97
103.60,133.19,-1786.54,300.00,200.00,100.00,208.76,281.73,-1743.24
111.50,132.19,-1686.86,300.00,200.00,100.00,216.66,280.74,-1643.56
119.41,131.20,-1587.18,300.00,200.00,100.00,224.57,279.74,-1543.87
127.31,130.20,-1487.49,300.00,200.00,100.00,232.47,278.75,-1444.19
28.80,318.51,-1778.76,300.00,200.00,100.00,133.96,467.06,-1735.46
36.70,317.52,-1679.08,300.00,200.00,100.00,141.87,466.06,-1635.77
44.61,316.52,-1579.40,300.00,200.00,100.00,149.77,465.07,-1536.09
52.51,315.53,-1479.71,300.00,200.00,100.00,157.68,464.07,-1436.41
